,basin_0,basin_1,basin_2,basin_3,basin_4,basin_5,basin_6,basin_7,basin_8,basin_9,basin_10,basin_11,basin_12,basin_13,basin_14,basin_15,basin_16,basin_17,basin_18,basin_19,basin_20,basin_21,basin_22,basin_23,basin_24,basin_25,basin_26,basin_27,basin_28,basin_29,basin_30,basin_31,basin_32,basin_33,basin_34,basin_35,basin_36,basin_37,basin_38,basin_39,basin_40,basin_41,basin_42,basin_43,basin_44,basin_45,basin_46,basin_47,basin_48,basin_49,basin_50,basin_51,basin_52,basin_53,basin_54,basin_55,basin_56,basin_57,basin_58,basin_59,basin_60,basin_61,basin_62,basin_63,basin_64,basin_65,basin_66,basin_67,basin_68
1981/6/10,0.3958,0.228943089,0.473448276,0.599666667,0.312666667,0.198108108,0.636333333,0.197314815,0.154520548,0.320277778,1.0712,0.92884058,0.205726496,0.212,0.222553191,0.97637931,0.245280899,0.260673077,0.270795455,0.265135135,0.306386555,0.88254902,0.40625,1.121686747,1.45940239,0.251016949,0.614465409,1.203333333,0.282967742,0.349821429,0.741166667,0.321372549,0.341092896,0.38559322,0.343179191,1.374444444,1.181965318,0.488145695,0.485909091,0.388666667,0.689833333,1.539425287,0.375869565,0.414038462,0.547916667,0.812608696,0.590892857,0.7796,1.06721519,0.476842105,1.582234043,0.517931034,0.68004717,0.466226415,0.507746479,0.492659574,0.425636364,1.333484848,1.621446541,0.551046512,1.544736842,0.830103093,0.459264706,0.403253012,1.614347826,1.596979167,1.391188119,1.342575758,1.282837838
1981/6/18,0.4536,0.272195122,0.571982759,0.736666667,0.393166667,0.210810811,0.811888889,0.233425926,0.173150685,0.395462963,1.4012,1.156014493,0.236837607,0.251212121,0.261808511,1.215517241,0.297752809,0.324903846,0.335,0.326756757,0.39302521,1.139803922,0.501838235,1.421084337,1.967848606,0.308983051,0.80408805,1.552738095,0.358193548,0.449017857,0.956166667,0.390588235,0.436174863,0.490847458,0.436589595,1.842777778,1.59867052,0.633907285,0.646590909,0.492833333,0.901666667,2.066666667,0.473478261,0.541538462,0.680972222,1.112608696,0.744464286,1.0632,1.422658228,0.612763158,2.040957447,0.675258621,0.878254717,0.603584906,0.641267606,0.636702128,0.554727273,1.738333333,2.013018868,0.728488372,1.970877193,1.065773196,0.600441176,0.510361446,2.035942029,1.981302083,1.770990099,1.684090909,1.612972973
1981/6/26,0.5264,0.331219512,0.698965517,0.908666667,0.501666667,0.232972973,1.035444444,0.28712963,0.20109589,0.492962963,1.773828571,1.425797101,0.27991453,0.304606061,0.319680851,1.49862069,0.363595506,0.415096154,0.42375,0.414594595,0.505378151,1.447843137,0.614705882,1.77060241,2.511752988,0.390677966,1.045408805,1.947738095,0.463354839,0.571071429,1.218166667,0.466372549,0.563661202,0.624745763,0.548150289,2.357222222,2.056936416,0.814834437,0.864772727,0.611833333,1.144,2.628275862,0.589347826,0.719038462,0.809583333,1.464347826,0.895178571,1.4032,1.821518987,0.790921053,2.532765957,0.871637931,1.108018868,0.783207547,0.786619718,0.820106383,0.729363636,2.191969697,2.43591195,0.946162791,2.437368421,1.346185567,0.775735294,0.64,2.489057971,2.390572917,2.196831683,2.058863636,1.969054054
1981/7/4,0.6132,0.405691057,0.853103448,1.11,0.6415,0.259189189,1.306222222,0.359537037,0.23890411,0.614907407,2.141314286,1.719855072,0.336324786,0.371818182,0.397234043,1.806034483,0.448651685,0.536346154,0.542272727,0.530540541,0.648067227,1.778823529,0.743455882,2.134096386,2.98123506,0.495762712,1.317106918,2.339642857,0.602774194,0.725357143,1.504,0.548039216,0.729071038,0.794745763,0.690462428,2.806666667,2.464104046,1.017682119,1.132045455,0.755666667,1.392166667,3.113563218,0.733913043,0.931538462,0.938402778,1.816956522,1.045892857,1.7556,2.184303797,1.005,2.973617021,1.099913793,1.348207547,0.995849057,0.932957746,1.034148936,0.936181818,2.605606061,2.83754717,1.212790698,2.865263158,1.629484536,0.990147059,0.796024096,2.909492754,2.777135417,2.601287129,2.419545455,2.317837838
1981/7/12,0.708,0.489512195,1.016551724,1.313333333,0.796333333,0.288378378,1.583444444,0.446388889,0.283561644,0.743888889,2.461314286,2.003623188,0.398547009,0.443636364,0.481489362,2.10362069,0.544269663,0.678173077,0.683636364,0.656756757,0.81210084,2.107254902,0.876470588,2.467710843,3.31685259,0.60440678,1.591886792,2.676666667,0.754129032,0.886428571,1.783666667,0.628823529,0.908797814,0.977118644,0.84433526,3.128333333,2.775375723,1.232450331,1.426818182,0.910666667,1.625333333,3.455057471,0.891086957,1.178846154,1.057986111,2.129130435,1.183928571,2.0832,2.474177215,1.241973684,3.298404255,1.335258621,1.580754717,1.239056604,1.053802817,1.271914894,1.172272727,2.936212121,3.15918239,1.493953488,3.19,1.896494845,1.21,0.949518072,3.231666667,3.095,2.941881188,2.730075758,2.628243243
1981/7/20,0.8028,0.579674797,1.17387931,1.493,0.945,0.318918919,1.831444444,0.539259259,0.334794521,0.868981481,2.697771429,2.237681159,0.46034188,0.513575758,0.565851064,2.347758621,0.642808989,0.830096154,0.840568182,0.773243243,0.984117647,2.382745098,1.003088235,2.719759036,3.493904382,0.702711864,1.837484277,2.916190476,0.89716129,1.037946429,2.032,0.697941176,1.080163934,1.133559322,0.994450867,3.291111111,2.964682081,1.442649007,1.714318182,1.046833333,1.828,3.635747126,1.034782609,1.439615385,1.162013889,2.373913043,1.300535714,2.352,2.669493671,1.474736842,3.487021277,1.55387931,1.784669811,1.483396226,1.136197183,1.508829787,1.406454545,3.147272727,3.371383648,1.755465116,3.392631579,2.120824742,1.411029412,1.086385542,3.432463768,3.304947917,3.177326733,2.939166667,2.84472973
1981/7/28,0.8848,0.66097561,1.295775862,1.623333333,1.064833333,0.354054054,2.008555556,0.631018519,0.39260274,0.968796296,2.836228571,2.392028986,0.517435897,0.575090909,0.642765957,2.496896552,0.727865169,0.974711538,0.993295455,0.871891892,1.144705882,2.571568627,1.095147059,2.868072289,3.562071713,0.782033898,2.014528302,3.04702381,1.013741935,1.158482143,2.2175,0.747745098,1.219562842,1.246779661,1.125433526,3.338333333,3.06132948,1.618344371,1.936590909,1.149166667,1.978833333,3.704712644,1.147826087,1.660384615,1.227916667,2.523478261,1.364642857,2.5376,2.785443038,1.668947368,3.564255319,1.71612069,1.930330189,1.688490566,1.156338028,1.710106383,1.602727273,3.25469697,3.466415094,1.942209302,3.481052632,2.282371134,1.556029412,1.187831325,3.514565217,3.39703125,3.30009901,3.040151515,2.956891892
1981/8/5,0.9406,0.71796748,1.365948276,1.691333333,1.128666667,0.384324324,2.092444444,0.702777778,0.436849315,1.022407407,2.866457143,2.448695652,0.558547009,0.617878788,0.701595745,2.538793103,0.781685393,1.080288462,1.111136364,0.94027027,1.257310924,2.652745098,1.142794118,2.897349398,3.53438247,0.831694915,2.10163522,3.0625,1.086903226,1.229732143,2.318833333,0.774901961,1.306721311,1.303389831,1.214624277,3.277222222,3.070693642,1.738609272,2.0725,1.207,2.0645,3.675402299,1.219782609,1.826153846,1.246527778,2.573478261,1.378928571,2.6288,2.832278481,1.798947368,3.541170213,1.806206897,2.012688679,1.832830189,1.123380282,1.852553191,1.738545455,3.276818182,3.44327044,2.03744186,3.473333333,2.378453608,1.6275,1.240722892,3.489347826,3.36828125,3.321188119,3.031439394,2.957702703
1981/8/13,0.9502,0.729105691,1.356293103,1.666333333,1.103666667,0.398108108,2.044888889,0.732685185,0.458219178,1.003055556,2.753828571,2.37826087,0.56957265,0.630181818,0.728510638,2.446034483,0.78247191,1.108269231,1.154886364,0.956486486,1.277815126,2.598431373,1.126838235,2.787108434,3.352669323,0.836779661,2.070503145,2.941071429,1.087290323,1.218660714,2.311666667,0.767745098,1.301530055,1.274915254,1.233179191,3.062777778,2.948208092,1.765960265,2.099090909,1.192,2.038166667,3.489885057,1.223478261,1.923461538,1.195347222,2.481304348,1.319285714,2.5632,2.757594937,1.841710526,3.372021277,1.784568966,1.986037736,1.898113208,1.031971831,1.919680851,1.805909091,3.169090909,3.277358491,2.001627907,3.334912281,2.392886598,1.593823529,1.226746988,3.323550725,3.196302083,3.217029703,2.895530303,2.832837838
1981/8/21,0.9066,0.692439024,1.27387931,1.562333333,1.01,0.398648649,1.889666667,0.715555556,0.451643836,0.922407407,2.526628571,2.205434783,0.555128205,0.61230303,0.727446809,2.25,0.733258427,1.056826923,1.116590909,0.936756757,1.201092437,2.431176471,1.059926471,2.578674699,3.03812749,0.810338983,1.93327044,2.726071429,1.030774194,1.139553571,2.191166667,0.732941176,1.224808743,1.192372881,1.182312139,2.733333333,2.704277457,1.696821192,2.012727273,1.1235,1.903333333,3.172183908,1.167826087,1.924807692,1.101458333,2.266521739,1.211071429,2.3652,2.566835443,1.786315789,3.089361702,1.667931034,1.857830189,1.875283019,0.91971831,1.895106383,1.788454545,2.956969697,3.006163522,1.844534884,3.092631579,2.324845361,1.476323529,1.158554217,3.055942029,2.93390625,3.014059406,2.681136364,2.63472973
