date,basin_0,basin_1,basin_2,basin_3,basin_4,basin_5,basin_6,basin_7,basin_8,basin_9,basin_10,basin_11,basin_12,basin_13,basin_14,basin_15,basin_16,basin_17,basin_18,basin_19,basin_20,basin_21,basin_22,basin_23,basin_24,basin_25,basin_26,basin_27,basin_28,basin_29,basin_30,basin_31,basin_32,basin_33,basin_34,basin_35,basin_36,basin_37,basin_38,basin_39,basin_40,basin_41,basin_42,basin_43,basin_44,basin_45,basin_46,basin_47,basin_48,basin_49,basin_50,basin_51,basin_52,basin_53,basin_54,basin_55,basin_56,basin_57,basin_58,basin_59,basin_60,basin_61,basin_62,basin_63,basin_64,basin_65,basin_66,basin_67,basin_68
2001/9/30,3.119876526,2.877123377,3.433680962,3.894158556,3.010891775,3.228979803,4.079039004,3.341286518,3.304218316,3.18403158,3.805688521,4.546987161,3.238422308,3.156464675,3.231261024,4.689104906,3.546566906,3.219776787,3.715856751,3.392347464,3.735065871,4.841564274,4.410167255,5.171708224,5.154666697,2.938008136,4.772354789,5.220786543,3.398527339,3.47337708,5.058114572,3.494846257,3.486666647,3.10885038,3.877436555,5.854147511,5.372088125,4.690770669,3.401668495,2.910685285,3.967270714,6.437446223,2.699712084,3.778457572,3.57552587,3.592285185,2.61908947,3.592334773,5.105647216,3.042277291,6.335090127,3.319305229,3.86084162,3.481273246,2.525474759,3.269648978,4.408332496,5.245814716,7.111040905,3.298046006,4.996698811,4.602624058,3.167901514,3.193760131,5.786690994,5.904582981,5.462523057,6.739386743,5.953266001
2001/10/31,0.360882517,0.397456669,0.524818545,0.648914759,0.492964721,0.552129518,1.187757124,0.69730134,0.640600647,0.657452628,1.308017142,1.015596353,0.619054622,0.655446251,0.647993141,1.773073428,0.993380105,0.767646181,0.846545605,0.811333429,0.99600954,1.815220466,1.409039631,2.107517866,2.331868592,1.292535093,1.470361277,1.933702169,1.071203333,1.039550096,1.670681893,1.284205604,1.085809066,1.331810396,1.191371834,1.702880312,1.822822344,1.273476719,1.317403576,1.13337661,1.336607197,1.623860342,0.957028409,1.462385217,1.195764522,1.082022268,1.105747784,1.258952101,1.952027669,1.80553686,2.261769854,1.072104881,1.429296571,1.564561306,1.508239713,1.598889713,1.61643528,2.287722722,2.118739757,1.663231583,2.73274368,2.115274608,1.595719032,1.629971558,3.384438149,3.272507971,2.858279987,2.265969848,1.946913895
2001/11/30,0.232036553,0.284344825,0.250174264,0.245695083,0.420571811,0.235859144,0.402833163,0.183335221,0.230777103,0.391879741,0.130006682,0.171088954,0.290171576,0.339748416,0.340096868,0.273013681,0.489075256,0.193457831,0.133486403,0.307554755,0.296563504,0.332391512,0.50687739,0.30974715,0.382323591,0.557441962,0.459348395,0.358403311,0.428439045,0.41115657,0.455302642,0.609399711,0.379096424,0.774372059,0.27688752,0.564913531,0.513391556,0.550693054,0.558068874,0.80894797,0.804165926,0.554602383,0.856536906,0.600578349,0.62288782,0.692472072,0.770605911,0.421045738,0.601979755,0.708188425,0.66517481,0.886258052,0.567924092,0.646897367,0.614925774,0.700611191,0.618418106,0.622894734,0.65213686,0.543907289,0.632949497,0.586889914,0.488825798,0.59483536,0.696547568,0.698366112,0.506602769,0.648021618,0.721844554
2001/12/31,0.089790227,0.175443314,0.136725907,0.163335536,0.346503168,0.234187062,0.260603256,0.210380179,0.241722113,0.285351973,0.133109766,0.155403907,0.24243498,0.266307337,0.321368507,0.199379083,0.395319431,0.215650991,0.22298829,0.309462425,0.261832606,0.185869005,0.352948528,0.162546799,0.213762454,0.39245551,0.254732216,0.165388582,0.340400258,0.282690152,0.191237564,0.458956609,0.293466247,0.345506175,0.270523032,0.188436801,0.207878637,0.289328349,0.247387951,0.392072659,0.388295816,0.199366125,0.416444595,0.259194213,0.343370211,0.396904961,0.443620996,0.445228908,0.296015967,0.3741561,0.292957222,0.423664519,0.398769959,0.352125316,0.435117457,0.355636603,0.344639646,0.334348265,0.294877678,0.417177623,0.363479098,0.354653073,0.405750996,0.390878867,0.424291112,0.32966297,0.319717917,0.381257996,0.414544406
2002/1/31,0.231099478,0.311609156,0.219060306,0.15303553,0.260556179,0.171354789,0.245611897,0.15172038,0.186616619,0.302595829,0.167166341,0.134147341,0.186557552,0.213787634,0.22895422,0.167067448,0.275230541,0.1614967,0.133875651,0.231171662,0.221336864,0.219504081,0.277986594,0.151873659,0.177057283,0.272708744,0.249212204,0.196875659,0.256414485,0.249654167,0.248354511,0.348667863,0.272015146,0.281828119,0.216555366,0.314116552,0.269450988,0.36181714,0.347922069,0.266201649,0.350879354,0.32425381,0.321304459,0.310212557,0.290654095,0.32338934,0.318402219,0.358278272,0.330856637,0.398805433,0.316314609,0.334149112,0.381362903,0.404284414,0.36392306,0.41212643,0.374988437,0.298991205,0.295758375,0.347701636,0.275344948,0.339171485,0.301660303,0.290964942,0.264188659,0.354981311,0.274046085,0.375727319,0.333384979
2002/2/28,0.198338443,0.323634031,0.221611768,0.128396278,0.267750824,0.217844468,0.22366334,0.165610425,0.226077625,0.306533584,0.142083211,0.15085793,0.194851285,0.213907951,0.209788293,0.164298299,0.268756645,0.155015692,0.124855849,0.157658738,0.175218114,0.132191652,0.230342412,0.094600922,0.111092788,0.167554277,0.179980356,0.103107196,0.138863743,0.165200647,0.139055449,0.306208567,0.116309999,0.088384365,0.174463907,0.060050547,0.120385523,0.16606398,0.15735842,0.084436712,0.174371786,0.089281258,0.144176886,0.176717435,0.096462065,0.136229857,0.181296591,0.147551326,0.146003679,0.203660159,0.139435802,0.17983389,0.20906066,0.190245034,0.277369544,0.197918075,0.20667447,0.152296569,0.124486617,0.379093825,0.162902776,0.211834604,0.371359721,0.276695953,0.256175454,0.292581658,0.263357792,0.446154673,0.395082036
2002/3/31,0.256196445,0.46352308,0.320487728,0.20892625,0.525717389,0.52181026,0.433568497,0.571775198,0.555006625,0.511777092,0.263321806,0.270851808,0.581296058,0.590151262,0.725017568,0.358295762,0.746533666,0.6062233,0.675455897,0.853923732,0.830181899,0.371863523,0.640984475,0.273597904,0.416177603,1.301590451,0.529054503,0.312418089,1.101162778,0.867612043,0.424845929,1.087444237,1.112385799,1.308670999,0.88380242,0.517785222,0.348025218,0.644381584,0.561892966,1.210962643,0.701258631,0.547341494,1.11420331,0.500969951,1.175295955,0.706537699,1.085659579,0.709628148,0.429381704,0.70840167,0.546656356,0.885157891,0.713582229,0.520436972,0.968332261,0.60754305,0.493430395,0.440550251,0.863180759,0.761641781,0.467307198,0.533308336,0.774038162,0.739893968,0.640049052,1.108291234,0.545956332,0.743168984,0.717563599
2002/4/30,0.962731072,0.758890442,0.896624954,0.790037427,0.622159879,0.794704517,0.953006392,0.755408764,0.82826756,0.640424309,0.788855362,0.951197322,0.579844004,0.4558774,0.567856893,0.869286366,0.814528616,0.661089684,0.746245576,0.575691796,0.554014256,0.603160938,0.673044876,0.743750507,0.996212872,0.828866098,0.729158624,0.528268368,0.811348209,0.478016986,0.52080288,0.812311238,0.475386361,0.564837729,0.799614571,1.30091682,0.708680095,0.526246541,0.496650494,0.54479052,0.558403903,1.260205722,0.653510447,0.641506445,0.563929919,0.781431012,0.578028485,0.839819082,1.132235834,0.922931122,1.430769562,0.751654849,0.749444899,0.846240383,0.547896117,0.890055389,0.887009704,1.215553928,1.556431705,1.106936868,1.296421842,1.095393465,1.051220324,0.841058289,1.303586754,1.571635215,1.310785148,1.687078533,1.751802632
2002/5/31,3.657618541,3.829022964,3.842079628,4.086264624,3.154167084,2.069118265,4.011603734,1.85521666,2.114024778,3.688290079,2.448552296,3.163120099,1.652549442,1.655939103,2.011737134,2.073301916,3.115791846,1.689420473,1.839151656,1.929907936,1.808181475,2.493906338,3.140927142,2.73869814,2.855582879,2.274320998,3.093246821,3.591135157,2.240018446,1.452139318,4.178330072,2.566724436,1.756608325,2.36112465,2.017043532,4.682711342,4.768943359,3.530045626,3.282678591,2.440106272,3.314399582,4.285876995,2.749620862,3.793473108,1.862482546,3.42427501,2.592487052,3.095116764,5.727345823,3.136522963,4.842552982,3.344682075,3.141258921,3.668130896,2.507721278,3.316584197,4.532069767,5.500225296,3.951962005,3.245288038,5.113498463,4.824147612,3.714241623,3.341270289,4.927279513,5.073772781,4.536707152,4.778311326,4.532672369
2002/6/30,2.684664742,3.03453865,2.889427822,2.557521515,3.470429778,4.837254859,3.934823717,5.143340596,4.705096799,3.46028783,2.968349464,3.601740907,4.048625537,3.890749253,3.110465218,4.008753521,3.977763855,4.966116482,5.745473002,3.073305286,4.831788327,4.309723115,4.892814532,4.376262409,3.790787138,3.210750419,4.765091322,4.782104847,3.243203815,4.221916691,4.07073588,3.835071259,3.885908208,2.803393151,4.589911708,5.267327007,4.447257737,4.340741311,3.813360701,2.237401575,3.089277795,5.652723826,1.945020821,4.12430249,3.21111568,3.720469915,2.216806988,4.4471443,5.277710384,4.25734449,6.225788575,3.241073662,4.090107909,5.929553228,2.646674334,5.406072592,4.949787835,6.436102766,4.774217572,4.972452266,5.103960914,6.229930778,3.890666834,3.350983417,4.667088323,4.251039631,4.806139473,4.922163968,4.67447568
